epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6997,1.58127,2.62161,0.02176,0.21647,0.19087,0.10976,0.03701,2.3273,3.51014,0.04807,0.000660194,0.000660194,0.0676505
2,51.686,1.66185,2.23797,0.02385,0.44668,0.29599,0.29299,0.12556,2.1137,2.87532,0.04275,0.0013181,0.0013181,0.0349751
3,73.7475,1.57809,2.06258,0.02214,0.65596,0.38866,0.43287,0.1874,2.02086,2.44328,0.03661,0.00196721,0.00196721,0.00229084
4,95.9747,1.57676,2.07424,0.02231,0.56605,0.3112,0.32346,0.14497,2.0184,2.87587,0.03738,0.0019604,0.0019604,0.0019604
5,118.218,1.52497,2.02066,0.02134,0.57967,0.44398,0.46333,0.24332,1.74501,2.24566,0.03107,0.0019472,0.0019472,0.0019472
6,140.548,1.45614,1.95744,0.02037,0.65724,0.43845,0.49389,0.29183,1.66029,2.1809,0.02973,0.001934,0.001934,0.001934
7,162.868,1.3958,1.83434,0.01918,0.67131,0.41217,0.46492,0.25854,1.67787,2.21851,0.03019,0.0019208,0.0019208,0.0019208
8,185.181,1.35735,1.8087,0.01859,0.6764,0.45228,0.51964,0.30169,1.56112,2.09533,0.02751,0.0019076,0.0019076,0.0019076
9,207.561,1.36314,1.76208,0.01862,0.72897,0.51708,0.5771,0.33416,1.55854,1.81438,0.02743,0.0018944,0.0018944,0.0018944
10,230.026,1.33719,1.72209,0.01821,0.61313,0.46611,0.52273,0.32495,1.48479,2.46176,0.02599,0.0018812,0.0018812,0.0018812
11,252.355,1.29585,1.69355,0.01725,0.72408,0.51176,0.57676,0.37532,1.36131,1.81029,0.02335,0.001868,0.001868,0.001868
12,274.852,1.27353,1.66922,0.01684,0.72364,0.55048,0.59732,0.37682,1.40622,1.97143,0.02379,0.0018548,0.0018548,0.0018548
13,297.348,1.27304,1.63132,0.01677,0.78484,0.49444,0.57836,0.37065,1.42037,1.80268,0.02465,0.0018416,0.0018416,0.0018416
14,319.731,1.23849,1.6071,0.01637,0.75303,0.50484,0.57282,0.35205,1.53458,1.837,0.02675,0.0018284,0.0018284,0.0018284
15,342.078,1.24944,1.59851,0.01687,0.72251,0.49793,0.57165,0.37687,1.36239,1.9073,0.0234,0.0018152,0.0018152,0.0018152
16,364.619,1.21689,1.57115,0.01603,0.63694,0.4675,0.50104,0.28311,1.57945,2.05639,0.02762,0.001802,0.001802,0.001802
17,387.003,1.19672,1.53154,0.01591,0.81525,0.60423,0.67042,0.45901,1.22702,1.50868,0.0206,0.0017888,0.0017888,0.0017888
18,409.472,1.21133,1.55066,0.01587,0.75914,0.56985,0.64146,0.43501,1.30777,1.54427,0.02239,0.0017756,0.0017756,0.0017756
19,431.935,1.18572,1.54826,0.01548,0.61917,0.4758,0.54578,0.37834,1.30431,1.90423,0.02262,0.0017624,0.0017624,0.0017624
20,454.541,1.17539,1.52801,0.01541,0.80052,0.59945,0.66601,0.47634,1.18883,1.52973,0.01982,0.0017492,0.0017492,0.0017492
21,477.004,1.16145,1.48314,0.01513,0.69294,0.51591,0.57246,0.38371,1.3568,1.83501,0.02351,0.001736,0.001736,0.001736
22,499.444,1.16106,1.49002,0.01554,0.78561,0.57815,0.65806,0.47185,1.19781,1.5005,0.01965,0.0017228,0.0017228,0.0017228
23,521.813,1.14685,1.46033,0.01494,0.82235,0.57621,0.65798,0.44676,1.24737,1.4659,0.02137,0.0017096,0.0017096,0.0017096
24,544.281,1.14649,1.45413,0.01516,0.80633,0.59311,0.66685,0.48043,1.1365,1.46022,0.0183,0.0016964,0.0016964,0.0016964
25,566.756,1.12761,1.44431,0.01491,0.88302,0.61964,0.72659,0.53733,1.10233,1.21061,0.0174,0.0016832,0.0016832,0.0016832
26,589.24,1.11099,1.40961,0.01426,0.84957,0.60148,0.70248,0.51958,1.08313,1.28726,0.01716,0.00167,0.00167,0.00167
27,611.701,1.10231,1.42104,0.01427,0.86723,0.62337,0.71143,0.53612,1.07173,1.27272,0.01681,0.0016568,0.0016568,0.0016568
28,634.143,1.09467,1.35765,0.01413,0.76794,0.5657,0.63865,0.4624,1.16351,1.55208,0.01928,0.0016436,0.0016436,0.0016436
29,656.609,1.12277,1.39023,0.01439,0.88337,0.62853,0.7273,0.54341,1.03662,1.25407,0.01647,0.0016304,0.0016304,0.0016304
30,679.102,1.09583,1.39554,0.01442,0.81977,0.6354,0.69907,0.50725,1.11626,1.3152,0.01804,0.0016172,0.0016172,0.0016172
31,701.546,1.08637,1.37454,0.01404,0.86351,0.63004,0.72249,0.54836,1.03457,1.28328,0.01673,0.001604,0.001604,0.001604
32,724.035,1.07736,1.35818,0.01382,0.8462,0.57261,0.68336,0.50718,1.1007,1.38833,0.01725,0.0015908,0.0015908,0.0015908
33,746.479,1.0728,1.35556,0.01373,0.84325,0.62932,0.70971,0.53253,1.04184,1.30045,0.01619,0.0015776,0.0015776,0.0015776
34,768.935,1.07056,1.35546,0.01358,0.84906,0.63022,0.71319,0.54011,1.07842,1.24545,0.01703,0.0015644,0.0015644,0.0015644
35,791.347,1.06145,1.31716,0.01331,0.84833,0.66252,0.73759,0.56228,1.03247,1.23556,0.01625,0.0015512,0.0015512,0.0015512
36,813.795,1.03497,1.32053,0.01324,0.82465,0.63746,0.73082,0.5672,1.00048,1.21833,0.0157,0.001538,0.001538,0.001538
37,836.282,1.03323,1.30367,0.01314,0.85912,0.65007,0.74768,0.58414,0.94833,1.1989,0.01425,0.0015248,0.0015248,0.0015248
38,858.723,1.0294,1.28577,0.01325,0.8604,0.61964,0.71542,0.53628,1.06065,1.25214,0.01707,0.0015116,0.0015116,0.0015116
39,881.116,1.01846,1.29176,0.01317,0.76221,0.55325,0.63064,0.46961,1.13432,1.53991,0.01869,0.0014984,0.0014984,0.0014984
40,903.527,1.02534,1.27929,0.01288,0.83017,0.63553,0.70411,0.54273,1.04596,1.32032,0.01666,0.0014852,0.0014852,0.0014852
41,925.886,1.01319,1.26336,0.01285,0.86661,0.65598,0.75306,0.58008,0.97955,1.20795,0.01526,0.001472,0.001472,0.001472
42,948.261,1.00703,1.2799,0.01277,0.87682,0.61826,0.71904,0.54987,1.03511,1.26993,0.01617,0.0014588,0.0014588,0.0014588
43,970.632,1.00844,1.29376,0.01276,0.84804,0.64869,0.74404,0.59356,0.92295,1.16865,0.0142,0.0014456,0.0014456,0.0014456
44,993.065,1.00976,1.22934,0.01272,0.84471,0.65975,0.74203,0.57834,0.98175,1.16548,0.01504,0.0014324,0.0014324,0.0014324
45,1015.47,1.01033,1.23887,0.01271,0.81855,0.61549,0.70052,0.54067,1.02734,1.28053,0.01646,0.0014192,0.0014192,0.0014192
46,1037.87,0.99997,1.23787,0.01285,0.92533,0.63624,0.766,0.6046,0.94278,1.11764,0.0143,0.001406,0.001406,0.001406
47,1060.32,0.98325,1.22226,0.01248,0.89431,0.67773,0.77644,0.61926,0.91817,1.04151,0.01395,0.0013928,0.0013928,0.0013928
48,1082.76,0.97174,1.22025,0.01209,0.82864,0.6971,0.75724,0.59901,0.934,1.12723,0.01422,0.0013796,0.0013796,0.0013796
49,1105.13,0.97414,1.22071,0.01233,0.86524,0.6838,0.76586,0.60947,0.90746,1.09952,0.01365,0.0013664,0.0013664,0.0013664
50,1127.53,0.96236,1.20426,0.01205,0.82234,0.68326,0.75712,0.5964,0.9288,1.15434,0.01379,0.0013532,0.0013532,0.0013532
51,1149.86,0.96493,1.17148,0.01215,0.90676,0.68604,0.77678,0.61297,0.93112,1.07665,0.01432,0.00134,0.00134,0.00134
52,1172.22,0.96749,1.19985,0.01217,0.82382,0.65698,0.74787,0.58427,0.94335,1.13171,0.01424,0.0013268,0.0013268,0.0013268
